Developer/Publisher Name,Careers Page,Total Jobs,"Administration, Facilities, and Office Management","Accounting, Finance & Tax","Art, Tech Art, Animation, Cinematics & Video",Audio,"Bus. Dev, Corp. Dev., Sales, Strategy, Partnerships, Licensing","Business Intelligence, Data, Analytics","Communications, PR, Policy",Customer & Community Mgmt & Support,"Engineering, Programming & Tech. Writing",Game Design,General App Only,"HR, Talent, Recruiting, Enablement & Sustainability",Internships,"IT, Tech & Security",Legal,Localization / Translation,"Marketing, Brand, Advertising, UA & eSports, Influencer/Social Mgmt","Production, Proj. Mgmt., Bus+Comm Ops, Performance",QA,"User And Player Interface, Experience & Research",Writing & Narrative
11 bit studios,https://11bitstudios.recruitee.com/,21,,,10,,,,,,2,,,,1,,,,2,1,3,2,
2K,https://boards.greenhouse.io/2k,233,2,,61,2,,4,1,1,82,12,,4,16,2,,3,5,20,10,4,4
505 Games,https://505games.com/careers/,5,,,,,,,,,,,,,,,,,3,,2,,
8SEC,https://jobs.8sec.games/,18,,,6,,,2,,,3,2,,,,,,,2,3,,,
abstraction,https://abstraction.games/careers,14,,1,2,,,,1,,3,3,,,1,1,,,,2,,,
Ace MADDOX,https://acemaddox.com/jobs/,2,,,,,,,,,1,,,,,,,,,1,,,
Activision,https://careers.activision.com/search-results?rk=l-make-epic-entertainment&sortBy=Most%20recent,283,,,74,6,,,,,127,27,,,,,,,,22,13,14,
Alike,https://www.alikestudio.com/#home,1,,,,,,,,,,,1,,,,,,,,,,
Alkimia Interactive,https://www.alkimiainteractive.com/,20,2,,6,1,,,,1,5,3,,,,,,,,1,1,,
Amazon Games,https://www.amazon.jobs/en/teams/amazon-game-studios,20,,,1,,,,,,5,2,,,,,,,2,10,,,
Amber Studio,https://jobs.jobvite.com/amberstudiocareers/jobs/positions,96,1,1,12,,2,,,3,17,20,,1,,,1,1,1,7,25,4,
Archiact,https://www.archiact.com/careers,9,,,5,,,,,,3,,,,1,,,,,,,,
ArenaNet LLC,https://www.arena.net/en/careers,19,1,,7,1,,,,,6,3,,1,,,,,,,,,
